dep,predictors,proportion,m_try,ntree,rmse,r2,nse,n_test
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,2,100,0.005109621033427875,0.23,0.2339790632178591,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,3,100,0.005175180595991273,0.21,0.21419592320064573,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,4,100,0.005219013014391863,0.2,0.2008284447353733,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,5,100,0.005282181424034463,0.18,0.18136579795032326,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,6,100,0.005345880359661473,0.16,0.1615025847510546,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,2,500,0.0050700187941144625,0.25,0.24580717483528403,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,3,500,0.005138770016553669,0.23,0.2252142562584465,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,4,500,0.00518222841557975,0.21,0.21205417128887827,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,5,500,0.005281457721971332,0.18,0.18159010174769652,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,6,500,0.005350633513870216,0.16,0.16001086437700285,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,2,1000,0.005068019056337337,0.25,0.2464020012105309,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,3,1000,0.005132935279857996,0.23,0.22697269430216838,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,4,1000,0.005180671940748675,0.21,0.21252741699550792,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,5,1000,0.005266690449870181,0.19,0.1861603496406946,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,6,1000,0.005336459791944068,0.16,0.16445519917254148,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,2,2000,0.00506049062549699,0.25,0.24863924479193633,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,3,2000,0.005127876709951402,0.23,0.22849559906248595,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,4,2000,0.005182646708653523,0.21,0.21192696516902065,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,5,2000,0.0052577336896510425,0.19,0.18892609726504928,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.6,6,2000,0.005333404799095828,0.17,0.16541158330906292,818
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,2,100,0.0050855988018319144,0.27,0.26603901709025446,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,3,100,0.005140222393165397,0.25,0.25018763165524793,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,4,100,0.005191953501077013,0.24,0.23501949083305362,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,5,100,0.0052893066839306896,0.21,0.2060625660368537,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,6,100,0.005328845698336561,0.19,0.19414840202245165,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,2,500,0.005064498564856521,0.27,0.2721168159394116,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,3,500,0.005109676697602806,0.26,0.2590726512559608,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,4,500,0.005146640201416854,0.25,0.2483141111206042,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,5,500,0.005230336941961251,0.22,0.2236668772015834,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,6,500,0.005296485333422158,0.2,0.20390603910031202,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,2,1000,0.005064100540298206,0.27,0.2722312217367887,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,3,1000,0.005108288140885194,0.26,0.2594752911555712,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,4,1000,0.005150994850324697,0.25,0.24704154773450016,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,5,1000,0.005222643648387608,0.23,0.2259490116712266,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,6,1000,0.005285351850502353,0.21,0.20724938186653685,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,2,2000,0.005063078628071017,0.27,0.27252491289395997,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,3,2000,0.005102450516349303,0.26,0.26116683048788436,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,4,2000,0.005143179279090297,0.25,0.24932473228670748,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,5,2000,0.005213414821553024,0.23,0.22868221400077615,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.7,6,2000,0.005279786219196748,0.21,0.20891808234912157,614
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,2,100,0.005279900004770085,0.25,0.24821594476051845,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,3,100,0.0053503008467007266,0.23,0.2280340917598077,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,4,100,0.005356353416897304,0.23,0.22628651874843575,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,5,100,0.005422070332910347,0.21,0.20718472534945565,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,6,100,0.005487491845870539,0.19,0.1879374339841582,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,2,500,0.005288055427020168,0.25,0.24589171455974934,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,3,500,0.005304962596739882,0.24,0.2410618790657495,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,4,500,0.005336016785908941,0.23,0.23215052886109544,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,5,500,0.0053862943299515225,0.22,0.21761254525307094,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,6,500,0.00549101862495057,0.19,0.18689328278471218,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,2,1000,0.005284954210157029,0.25,0.24677595928976592,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,3,1000,0.0052930243934459255,0.24,0.24447384013731377,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,4,1000,0.005333063119309422,0.23,0.23300035513703632,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,5,1000,0.00538031701763812,0.22,0.2193480535718485,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,6,1000,0.005479136565662609,0.19,0.1904084517212229,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,2,2000,0.005281366078911614,0.25,0.24779838981334623,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,3,2000,0.005297699701672306,0.24,0.24313854392512202,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,4,2000,0.0053393024849178045,0.23,0.23120461766806355,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,5,2000,0.005396576392781034,0.21,0.21462264729186886,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.8,6,2000,0.005484568545457802,0.19,0.18880240858001762,409
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,2,100,0.005525900031340016,0.15,0.1482876785755961,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,3,100,0.005524715982370325,0.15,0.14865263669908335,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,4,100,0.005631675391919062,0.12,0.11536908832689163,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,5,100,0.005783756878568077,0.07,0.0669456533672026,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,6,100,0.005856493467750604,0.04,0.04332988202940791,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,2,500,0.005468042332545231,0.17,0.1660296344348,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,3,500,0.005538441787045098,0.14,0.14441714531585503,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,4,500,0.005619021972466316,0.12,0.11933985373543121,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,5,500,0.0057019784750275025,0.09,0.0931446292928727,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,6,500,0.005786074761433919,0.07,0.06619764680695583,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,2,1000,0.005482959295436926,0.16,0.16147324186230183,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,3,1000,0.005516002840686181,0.15,0.1513358735402769,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,4,1000,0.005601176810131611,0.12,0.12492465774168393,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,5,1000,0.005703086370921649,0.09,0.09279219059004118,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,6,1000,0.005794291090285203,0.06,0.06354373201189634,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,2,2000,0.005473949518679361,0.16,0.16422676645690804,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,3,2000,0.005518470832018374,0.15,0.15057627847398014,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,4,2000,0.005593018612221207,0.13,0.12747192200872037,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,5,2000,0.00568773934229165,0.1,0.09766822085515747,205
k,"clay,nitrogen,sand,silt,mean_annual_air_temp_c",0.9,6,2000,0.005788690192224323,0.07,0.0653532583354749,205
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,100,0.0052478678295586716,0.27,0.26707073976602724,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,100,0.005291908967016243,0.25,0.2547173477356838,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,100,0.005313589555305535,0.25,0.24859809440243008,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,100,0.005367812526043398,0.23,0.23318436060230185,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,100,0.005473855279953688,0.2,0.20258774594773388,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,500,0.005211659723522693,0.28,0.27714966351758885,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,500,0.005247220931714078,0.27,0.26725142310309524,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,500,0.005302547532851228,0.25,0.2517177843026993,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,500,0.005348472119106414,0.24,0.2387001303874069,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,500,0.005425137183710856,0.22,0.21671874750561104,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,1000,0.005215903523892257,0.28,0.27597196518018574,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,1000,0.005236858245883362,0.27,0.27014276138774596,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,4,1000,0.005283861493583686,0.26,0.25698234588119584,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,5,1000,0.005352835829253176,0.24,0.23745736531149597,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,6,1000,0.005423063199824005,0.22,0.2173175165773742,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,2,2000,0.00520783437407019,0.28,0.2782104159365629,819
k,"clay,nitrogen,sand,silt,mean_precip",0.6,3,2000,0.005233163796602515,0.27,0.27117218372499674,819
